date,open,high,low,close,volume
2017-07-21,127.0,127.76,126.2975,126.9,479580
2017-07-24,126.53,127.53,125.32,126.79,564127
2017-07-25,126.53,129.22,126.31,128.02,682302
2017-07-26,128.68,128.79,127.16,128.2,1315326
2017-07-27,118.25,120.0,115.63,119.02,3845933
2017-07-28,118.77,122.71,118.77,121.72,1458511
2017-07-31,122.15,122.15,120.01,120.75,806633
2017-08-01,121.08,121.43,119.98,121.15,863566
2017-08-02,120.07,120.25,118.97,119.08,1063292
2017-08-03,119.04,120.4,118.56,119.63,889609
2017-08-04,119.82,120.84,119.64,119.78,507471
2017-08-07,119.83,120.54,119.83,120.05,580403
2017-08-08,119.68,120.5,118.43,118.62,912332
2017-08-09,118.09,118.87,117.83,118.63,737674
2017-08-10,117.67,118.44,116.32,116.41,841613
2017-08-11,117.13,117.95,116.5,117.82,777869
2017-08-14,118.9,119.86,118.5,119.01,752025
2017-08-15,119.43,119.66,118.29,118.56,656397
2017-08-16,118.87,119.09,118.1,118.63,613482
2017-08-17,117.96,118.79,117.38,117.81,590904
2017-08-18,117.68,117.91,116.27,116.48,471347
2017-08-21,116.7,116.7,115.67,116.11,527159
2017-08-22,116.24,117.23,115.99,116.95,582159
2017-08-23,116.58,116.79,115.78,115.93,438361
2017-08-24,116.26,118.14,116.26,117.52,569811
2017-08-25,117.64,118.95,117.5,117.6,408054
2017-08-28,117.59,118.37,117.13,117.71,262832
2017-08-29,117.15,117.84,116.3423,117.74,281871
2017-08-30,117.92,119.22,117.56,118.64,478592
2017-08-31,118.34,119.74,118.09,119.38,666007
2017-09-01,119.91,119.91,118.3,118.57,379190
2017-09-05,118.16,118.47,116.12,116.45,735748
2017-09-06,116.63,116.93,115.95,116.58,887292
2017-09-07,116.93,116.96,114.93,115.66,698143
2017-09-08,115.21,115.92,114.76,115.56,490717
2017-09-11,116.25,117.99,116.25,117.55,814895
2017-09-12,117.84,119.03,117.07,117.58,669806
2017-09-13,117.31,117.31,116.15,116.54,316306
2017-09-14,116.21,117.02,116.0,116.91,721263
2017-09-15,116.74,117.22,116.23,116.62,1184030
2017-09-18,116.79,117.47,116.55,116.9,1061880
2017-09-19,117.5,117.63,116.43,116.76,614024
2017-09-20,116.42,117.32,115.91,116.83,651392
2017-09-21,116.84,118.2399,116.35,117.71,764618
2017-09-22,117.63,120.92,117.465,119.73,991503
2017-09-25,119.34,119.88,118.03,118.81,640198
2017-09-26,119.44,119.54,118.4,118.61,392125
2017-09-27,118.89,121.77,118.83,121.06,565153
2017-09-28,120.52,123.14,120.52,121.43,1107640
2017-09-29,122.09,122.59,120.35,120.56,798811
2017-10-02,120.81,124.03,120.81,123.72,621353
2017-10-03,122.42,122.95,117.55,117.82,1406111
2017-10-04,117.86,119.92,117.82,119.35,706020
2017-10-05,119.26,120.9,118.9,120.1,558645
2017-10-06,120.09,120.6,118.85,119.0,602843
2017-10-09,118.8,119.92,116.24,116.3,932636
2017-10-10,116.89,117.515,115.94,116.4,1007963
2017-10-11,116.13,116.27,114.63,115.99,893404
2017-10-12,115.4,116.69,115.04,115.69,987883
2017-10-13,115.76,116.83,115.45,116.7,989030
2017-10-16,116.82,117.05,115.66,115.79,505676
2017-10-17,116.16,116.501,115.67,116.28,609665
2017-10-18,116.3,117.13,115.67,116.74,536000
2017-10-19,116.46,117.535,115.53,117.39,371205
2017-10-20,118.0,119.95,117.75,119.48,828885
2017-10-23,119.46,119.53,118.14,118.27,696981
2017-10-24,118.33,119.45,118.33,119.15,641135
2017-10-25,118.67,119.89,118.08,119.31,1045701
2017-10-26,119.5,127.48,118.76,124.05,2431749
2017-10-27,124.27,126.39,120.33,121.18,1425751
2017-10-30,120.7,121.88,119.35,119.63,1272144
2017-10-31,119.95,121.48,119.41,121.27,944553
2017-11-01,120.94,121.88,119.91,120.6,993044
2017-11-02,119.52,121.66,119.51,121.01,954261
2017-11-03,120.51,121.395,119.5,119.65,835380
2017-11-06,119.6,121.41,119.6,120.2,861586
2017-11-07,120.13,120.47,119.57,120.13,610734
2017-11-08,120.21,121.8,119.66,121.34,651221
2017-11-09,120.82,122.15,120.39,120.96,794855
2017-11-10,120.6,120.935,119.61,119.71,698065
2017-11-13,119.5,121.03,119.4,120.85,503821
2017-11-14,120.4,121.48,119.77,121.22,424818
2017-11-15,120.74,121.2,119.64,119.79,436358
2017-11-16,120.8,122.165,119.53,122.06,598946
2017-11-17,121.81,123.74,121.19,123.58,573848
2017-11-20,123.58,123.95,122.12,122.54,744969
2017-11-21,123.27,123.43,121.224,122.45,756645
2017-11-22,122.41,123.14,121.59,122.02,569946
2017-11-24,122.25,123.3199,121.71,123.19,382514
2017-11-27,123.32,124.27,122.89,123.7,672170
2017-11-28,124.15,127.29,123.9,126.67,768220
2017-11-29,127.27,129.99,126.02,129.86,1118083
2017-11-30,130.21,134.5,129.16,134.2,2280060
2017-12-01,134.19,134.19,130.74,132.71,1015587
2017-12-04,133.29,134.24,132.38,132.53,919616
2017-12-05,132.63,133.46,131.99,132.6,743100
2017-12-06,132.31,132.95,130.73,131.47,675448
2017-12-07,131.28,132.32,130.83,131.83,618539
2017-12-08,132.7,132.77,131.425,132.74,525509
2017-12-11,132.54,133.22,132.03,133.15,965692
2017-12-12,133.14,136.35,132.51,135.49,1208320
2017-12-13,134.2,134.2,130.86,131.0,1075558
2017-12-14,131.26,131.92,130.15,130.23,728974
2017-12-15,131.16,132.5,130.17,131.06,1854154
2017-12-18,132.18,133.61,131.5,131.87,584124
2017-12-19,131.57,132.2,131.1,131.51,417250
2017-12-20,131.67,132.17,129.7,131.45,527494
2017-12-21,132.01,133.03,131.45,132.36,536965
2017-12-22,132.43,132.68,131.54,132.37,254153
2017-12-26,132.2,132.94,131.105,131.26,272195
2017-12-27,131.38,132.12,131.055,131.75,266152
2017-12-28,131.88,132.18,131.105,132.08,267215
2017-12-29,132.44,132.56,131.14,131.22,329550
2018-01-02,131.64,132.78,131.31,132.58,400836
2018-01-03,132.84,134.85,132.675,134.04,801593
2018-01-04,138.3,138.66,136.52,137.12,791122
2018-01-05,139.0,139.4,135.85,136.18,848604
2018-01-08,135.88,137.89,134.55,137.62,428077
2018-01-09,138.23,138.5,137.055,137.84,492138
2018-01-10,137.37,139.62,137.37,139.0,606069
2018-01-11,138.9,140.5,138.7,139.77,433143
2018-01-12,140.07,141.88,139.83,141.81,414789
2018-01-16,141.79,142.6,140.15,140.52,569654
2018-01-17,139.0,141.3,137.5,139.55,738209
2018-01-18,139.24,140.0,137.98,138.0,568261
2018-01-19,138.7,139.56,138.19,138.76,718491
2018-01-22,138.7,141.33,137.75,141.06,916819
2018-01-23,141.49,143.2159,141.08,142.59,642920
2018-01-24,142.76,143.0,140.82,142.13,1251158
2018-01-25,144.27,144.45,134.84,134.94,1838081
2018-01-26,136.13,139.25,136.13,138.24,2008646
2018-01-29,138.06,139.67,137.315,138.89,983072
2018-01-30,138.06,141.24,137.51,140.95,1130554
2018-01-31,140.89,144.61,140.28,144.54,1287009
2018-02-01,144.57,146.0,143.4,145.03,1165640
2018-02-02,142.84,145.36,142.83,144.13,1235409
2018-02-05,142.55,143.94,136.14,136.18,1287153
2018-02-06,133.58,140.07,133.14,139.73,1385675
2018-02-07,139.16,142.46,138.98,141.39,933167
2018-02-08,141.42,141.66,137.24,137.25,988641
2018-02-09,138.81,139.69,134.83,138.64,982388
2018-02-12,139.55,141.14,138.18,140.15,622824
2018-02-13,133.89,142.75,133.89,142.43,643178
2018-02-14,141.76,144.31,141.07,143.5,684950
2018-02-15,144.67,145.85,143.0,145.39,639532
2018-02-16,144.84,146.06,144.64,145.03,457999
2018-02-20,143.99,145.405,142.97,143.04,768392
2018-02-21,143.41,146.51,142.88,144.66,660779
2018-02-22,145.22,146.31,143.45,143.87,632707
2018-02-23,144.65,147.36,144.57,147.33,470123
2018-02-26,147.86,151.33,147.47,151.03,943998
2018-02-27,151.54,153.08,150.4725,150.84,1129617
2018-02-28,151.81,151.81,148.5,148.52,852992
2018-03-01,148.81,149.24,145.74,146.55,662974
2018-03-02,145.21,148.57,145.21,148.34,511898
2018-03-05,147.67,151.16,146.875,150.84,775985
2018-03-06,151.83,152.61,150.86,152.14,381428
2018-03-07,150.83,153.91,150.83,153.32,657639
2018-03-08,153.25,153.25,144.12,147.06,1433169
2018-03-09,148.2,149.77,145.94,147.48,919354
2018-03-12,147.98,148.29,146.28,146.78,665312
2018-03-13,147.75,148.86,146.67,147.84,801799
2018-03-14,148.54,149.36,147.3,147.92,601899
2018-03-15,148.14,149.3,146.74,148.15,622895
2018-03-16,148.24,150.21,147.41,148.18,838400
2018-03-19,147.46,148.76,145.84,146.8,515831
2018-03-20,147.11,149.32,147.11,148.9,490250
2018-03-21,149.3,151.07,148.3,149.55,591183
2018-03-22,148.24,149.43,146.24,146.27,511543
2018-03-23,147.34,147.86,144.49,144.51,598836
2018-03-26,146.0,147.72,144.33,147.6,590786
2018-03-27,148.4,148.97,144.26,144.96,637380
2018-03-28,144.93,145.36,142.38,142.61,518449
2018-03-29,143.59,145.26,142.07,144.61,521671
2018-04-02,143.93,144.33,139.84,140.71,723286
2018-04-03,141.95,143.05,141.06,142.34,697359
2018-04-04,140.15,143.86,138.67,143.41,729417
2018-04-05,144.23,144.8699,143.11,143.24,646215
2018-04-06,142.29,143.44,139.72,140.71,560917
2018-04-09,141.74,143.23,139.68,140.78,479847
2018-04-10,142.49,145.61,141.5276,144.94,720451
2018-04-11,144.19,146.65,144.16,145.39,507020
2018-04-12,146.6,149.1,146.39,148.35,396219
2018-04-13,153.62,157.2,153.1001,155.06,1798428
2018-04-16,156.0,156.3,153.98,155.25,970202
2018-04-17,155.83,161.5799,155.43,158.67,1166734
2018-04-18,159.22,159.9892,156.77,157.99,648463
2018-04-19,157.91,159.12,156.79,157.76,594361
2018-04-20,158.17,158.69,156.08,156.96,554701
2018-04-23,157.27,158.81,156.37,157.72,553667
2018-04-24,158.74,159.87,154.83,157.14,658811
2018-04-25,157.01,157.97,155.67,157.07,896943
2018-04-26,159.62,161.99,155.7,158.47,1311288
2018-04-27,159.05,161.71,158.77,160.84,758052
2018-04-30,160.84,163.48,160.5,163.09,1182204
2018-05-01,160.7,164.88,160.21,164.67,1018864
2018-05-02,162.58,166.86,162.0,165.72,935617
2018-05-03,164.54,168.63,164.09,168.32,1013731
2018-05-04,167.35,168.64,166.58,168.13,1114666
2018-05-07,168.52,170.21,168.01,169.2,812389
2018-05-08,170.82,170.92,168.58,169.63,808001
2018-05-09,169.94,172.41,169.45,172.0,770199
2018-05-10,172.99,174.26,172.12,172.76,802887
2018-05-11,172.3,172.79,170.23,171.76,653996
2018-05-14,172.0,173.35,170.93,172.59,472761
2018-05-15,171.99,172.27,169.82,171.2,746992
2018-05-16,170.33,171.82,169.36,171.04,695966
2018-05-17,170.18,171.92,169.46,171.14,669661
2018-05-18,170.89,172.78,170.23,172.27,687031
2018-05-21,173.29,175.54,173.29,174.41,596415
2018-05-22,175.22,176.33,173.46,173.96,589057
2018-05-23,173.22,174.7,172.72,174.57,494904
2018-05-24,174.23,174.98,172.41,173.41,420132
2018-05-25,173.57,175.21,173.31,174.8,405374
2018-05-29,173.64,174.025,171.69,172.75,558188
2018-05-30,173.86,173.86,171.73,173.16,547835
2018-05-31,173.21,174.805,171.59,173.11,1557453
2018-06-01,174.57,176.34,174.025,175.19,664999
2018-06-04,175.97,176.4366,174.52,176.19,611307
2018-06-05,176.77,178.02,176.23,177.93,535374
2018-06-06,178.09,179.03,177.41,178.82,658741
2018-06-07,179.22,179.62,175.17,176.92,564921
2018-06-08,176.41,177.33,174.98,176.8,367121
2018-06-11,177.43,177.89,176.61,176.94,523811
2018-06-12,176.58,177.7,175.725,177.57,512796
2018-06-13,177.97,180.92,177.97,179.77,557798
2018-06-14,180.0,181.84,179.92,181.64,660553
2018-06-15,180.99,182.75,179.25,182.5,1140555
2018-06-18,181.52,182.395,179.84,181.28,615656
2018-06-19,178.37,179.88,174.87,179.54,957113
2018-06-20,180.55,183.27,180.01,181.99,566675
2018-06-21,182.49,183.22,179.31,180.2,665435
2018-06-22,178.89,178.89,171.11,171.47,1163698
2018-06-25,170.6,171.33,168.025,170.05,916951
2018-06-26,170.65,173.39,170.32,172.48,630888
2018-06-27,172.31,173.66,170.38,170.4,581787
2018-06-28,170.25,173.61,170.03,172.98,391841
2018-06-29,173.51,175.21,172.36,172.45,439351
2018-07-02,171.3,174.56,169.6972,174.48,449183
2018-07-03,175.37,175.89,174.18,174.73,271842
2018-07-05,175.48,176.85,174.37,176.57,652694
2018-07-06,176.83,177.91,175.47,177.25,317733
2018-07-09,177.76,177.99,175.77,177.91,487065
2018-07-10,177.3,179.22,176.6528,178.62,571933
2018-07-11,176.9,176.9,170.12,174.93,942762
2018-07-12,176.08,178.38,175.79,177.35,503988
2018-07-13,177.68,178.98,174.12,176.03,662450
2018-07-16,176.64,178.47,175.11,175.68,528581
2018-07-17,174.95,177.68,174.95,176.75,614013
2018-07-18,176.73,180.11,176.7,179.45,694153
2018-07-19,173.33,174.95,169.71,171.69,961376
2018-07-20,172.46,173.82,171.58,172.38,868160
2018-07-23,171.68,173.6,170.97,172.62,657899
2018-07-24,173.66,174.78,171.65,172.46,857457
2018-07-25,173.49,175.565,172.08,175.2,855744
2018-07-26,178.99,178.99,169.0,177.08,1236171
2018-07-27,177.71,178.44,173.24,174.23,639128
2018-07-30,173.46,173.93,169.395,170.13,688154
2018-07-31,171.35,172.85,170.34,171.38,678709
2018-08-01,171.86,174.12,170.06,170.6,617399
2018-08-02,168.99,173.07,168.77,172.26,788608
2018-08-03,172.15,174.07,172.15,172.23,588522
2018-08-06,171.69,175.77,170.58,175.44,649904
2018-08-07,175.28,177.86,175.28,176.71,535406
2018-08-08,176.67,180.0,176.3,179.0,724407
2018-08-09,179.0,181.09,179.0,179.91,617905
2018-08-10,179.15,180.52,178.71,179.98,345154
2018-08-13,180.0,182.32,179.675,179.85,423698
2018-08-14,180.48,182.48,179.62,181.55,479100
2018-08-15,180.31,181.48,176.0,178.96,563356
2018-08-16,180.77,181.67,178.23,178.62,529189
2018-08-17,177.97,180.89,177.97,180.68,574078
2018-08-20,181.71,184.05,181.635,183.22,642949
2018-08-21,182.99,184.583,180.6775,183.67,416105
2018-08-22,183.85,185.0,182.84,184.82,376725
2018-08-23,184.69,186.21,183.574,185.63,419224
2018-08-24,186.37,188.62,185.7535,187.64,445936
2018-08-27,188.5,189.53,188.04,188.4,378705
2018-08-28,188.4,189.65,188.32,189.65,327967
2018-08-29,189.98,191.16,189.54,190.43,691328
2018-08-30,189.98,190.405,188.69,188.82,361769
2018-08-31,188.5,190.145,187.91,189.12,735034
2018-09-04,188.76,191.78,187.0186,190.84,535512
2018-09-05,191.37,192.92,188.37,189.72,632055
2018-09-06,189.75,191.38,189.48,190.18,377935
2018-09-07,189.39,191.11,187.57,190.11,375575
2018-09-10,191.09,191.61,190.51,191.32,457756
2018-09-11,191.92,192.21,189.41,191.11,401497
2018-09-12,191.29,191.31,189.1017,190.58,323085
2018-09-13,191.26,192.42,190.55,192.27,364509
2018-09-14,192.82,194.82,192.05,194.6,505698
2018-09-17,194.45,195.27,192.78,193.65,522956
2018-09-18,193.62,195.32,191.825,194.61,498779
2018-09-19,194.28,195.24,192.02,193.24,358447
2018-09-20,194.07,195.95,193.37,194.85,454776
2018-09-21,195.11,196.495,194.265,194.6,739954
2018-09-24,194.38,195.94,191.99,195.41,452346
2018-09-25,195.97,197.7,193.7401,196.82,480353
2018-09-26,196.5,197.59,195.155,195.4,817775
2018-09-27,195.88,198.3,195.4,196.74,495466
2018-09-28,196.43,199.71,196.29,199.42,552275
2018-10-01,193.68,195.41,188.37,190.88,1232019
2018-10-02,189.81,189.94,186.7,187.51,914232
2018-10-03,188.04,188.12,185.74,186.58,1106272
2018-10-04,185.81,187.15,181.4,182.98,795337
2018-10-05,182.74,184.96,181.9,182.66,671223
2018-10-08,182.04,182.25,177.12,179.01,784219
2018-10-09,178.8,180.645,176.37,176.83,714460
2018-10-10,175.34,175.57,169.0,169.19,1097447
2018-10-11,168.62,170.96,164.36,164.71,1272875
2018-10-12,167.54,169.82,166.18,167.73,1021208
2018-10-15,166.75,169.26,166.75,167.0,782489
2018-10-16,168.89,170.05,166.974,169.67,988470
2018-10-17,170.31,171.27,168.697,170.54,873184
2018-10-18,170.36,172.59,169.15,169.88,747684
2018-10-19,170.37,172.43,165.2,165.73,849778
2018-10-22,165.9,170.7,165.9,169.22,1150098
2018-10-23,166.73,169.83,163.81,168.74,880826
2018-10-24,167.92,169.71,161.25,161.6,911888
2018-10-25,174.86,175.55,166.05,171.47,1506301
2018-10-26,168.75,172.82,166.52,170.38,1176247
2018-10-29,173.32,174.93,165.92,168.59,855889
2018-10-30,168.69,171.61,166.9241,171.44,560859
2018-10-31,174.32,178.39,172.96,175.28,1122143
2018-11-01,175.13,179.34,174.605,179.09,967117
2018-11-02,177.31,182.34,177.31,180.29,685599
2018-11-05,180.2,181.5,177.23,180.82,538048
2018-11-06,179.86,181.51,177.03,181.42,410881
2018-11-07,182.45,189.09,178.345,188.46,1002340
2018-11-08,188.0,190.08,187.48,189.27,697030
2018-11-09,187.62,188.865,181.3969,183.24,1012113
2018-11-12,182.55,183.24,178.64,178.91,635783
2018-11-13,178.9,180.63,176.01,176.79,608320
2018-11-14,177.91,179.07,175.53,175.84,544766
2018-11-15,175.61,179.54,174.2518,179.2,633796
2018-11-16,177.54,179.365,176.54,177.77,448507
2018-11-19,177.62,177.685,168.95,169.54,870774
2018-11-20,166.12,170.25,164.97,166.69,581254
2018-11-21,168.33,170.23,167.11,168.62,536110
2018-11-23,166.87,169.99,166.87,168.12,296769
2018-11-26,170.27,170.9,168.47,170.62,413769
2018-11-27,169.31,170.81,168.32,170.08,717410
2018-11-28,171.01,177.27,171.01,176.54,719164
2018-11-29,175.61,175.69,172.745,173.53,757867
2018-11-30,173.65,174.15,171.66,171.97,739145
2018-12-03,175.35,175.735,171.57,174.86,1268318
2018-12-04,174.5,176.7,168.96,169.55,997246
2018-12-06,165.98,171.03,164.82,170.92,758248
2018-12-07,170.93,172.4,164.265,165.32,610450
2018-12-10,164.87,168.08,163.735,167.19,654727
2018-12-11,169.95,170.65,166.3,167.29,501703
2018-12-12,169.52,173.08,168.39,170.35,699413
2018-12-13,171.0,172.4,168.37,169.02,773067
2018-12-14,167.85,169.32,164.85,165.44,638142
2018-12-17,164.99,165.53,162.26,163.07,1101790
2018-12-18,164.28,167.82,164.08,166.21,777576
2018-12-19,167.03,168.83,161.29,162.2,618314
2018-12-20,161.93,162.36,155.35,158.25,1060166
2018-12-21,158.77,160.76,154.33,154.62,1055743
2018-12-24,153.75,155.14,150.03,150.17,713482
2018-12-26,151.38,157.38,149.8738,157.3,478327
2018-12-27,155.54,160.58,154.4,160.52,504353
2018-12-28,161.18,163.09,159.5,160.63,357566
2018-12-31,162.04,163.38,160.5,162.03,330634
2019-01-02,158.19,162.91,158.19,161.18,758741
2019-01-03,159.61,160.17,153.91,154.31,1227796
2019-01-04,156.7,160.13,156.3,159.79,805073
2019-01-07,159.95,165.47,159.64,163.82,913329
2019-01-08,165.17,166.37,161.95,164.82,634169
2019-01-09,165.91,167.32,164.82,166.04,415155
2019-01-10,163.94,166.9,163.94,165.6,554602
2019-01-11,163.75,164.625,161.35,163.73,885698
2019-01-14,161.92,163.84,161.03,162.85,729474
2019-01-15,163.42,164.25,162.22,163.18,546332
2019-01-16,163.18,165.015,161.06,161.86,757662
2019-01-17,156.9,158.305,153.55,156.42,1223450
2019-01-18,157.54,159.34,156.7,158.64,1306513
2019-01-22,155.94,159.16,153.69,157.3,921570
2019-01-23,158.34,160.76,155.85,159.64,1162655
2019-01-24,151.86,159.55,151.001,156.09,2096380
2019-01-25,157.93,159.84,156.79,158.5,746647
2019-01-28,157.15,158.81,155.52,158.75,603412
2019-01-29,159.26,159.34,157.43,157.63,462984
2019-01-30,158.03,160.4,156.525,159.64,556701
2019-01-31,159.31,161.66,159.31,160.95,843795
2019-02-01,160.79,161.9,160.0,160.72,667314
2019-02-04,159.5,163.12,159.5,162.84,531970
2019-02-05,162.96,163.91,162.25,162.41,371114
2019-02-06,162.24,164.46,162.17,163.96,389712
2019-02-07,162.67,163.214,158.7,159.71,416614
2019-02-08,158.83,161.19,157.88,160.92,700603
2019-02-11,161.31,163.24,161.1,163.1,384639
2019-02-12,163.63,166.52,163.6,165.1,430231
2019-02-13,165.93,166.97,165.23,166.75,532833
2019-02-14,166.38,169.89,165.51,168.74,715407
